date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:44:57	208/208	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2023%20Aug%202018%2014:44:57%20GMT	http://test.testicola.com/robots.txt		(from )
17:44:58	8838/8838	---MCZ	200	added ('OK')	text/html	etag:W/%222286-5684b9e08c7bd%22	http://test.testicola.com/	C:/My%20Web%20Sites/ls_testtask/test.testicola.com/index.html	(from )
17:44:58	7719/7719	---MCZ	200	added ('OK')	text/css	date:Tue,%2014%20Nov%202017%2000:32:23%20GMT	https://cdnjs.cloudflare.com/ajax/libs/normalize/7.0.0/normalize.css	C:/My%20Web%20Sites/ls_testtask/cdnjs.cloudflare.com/ajax/libs/normalize/7.0.0/normalize.css	(from http://test.testicola.com/)
17:44:58	31000/31000	---MCZ	200	added ('OK')	text/css	date:Tue,%2014%20Nov%202017%2000:29:23%20GMT	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	C:/My%20Web%20Sites/ls_testtask/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	(from http://test.testicola.com/)
17:44:59	15688/15688	---MCZ	200	added ('OK')	text/css	etag:W/%225ab89d18-3d48%22	http://test.testicola.com/css/main.css	C:/My%20Web%20Sites/ls_testtask/test.testicola.com/css/main.css	(from http://test.testicola.com/)
17:44:59	10439/10439	---MCZ	200	added ('OK')	text/html	etag:W/%2228c7-5684b7afac809%22	http://test.testicola.com/about.html	C:/My%20Web%20Sites/ls_testtask/test.testicola.com/about.html	(from http://test.testicola.com/)
17:45:00	11944/11944	---MCZ	200	added ('OK')	text/html	etag:W/%222ea8-5684b7b0036a9%22	http://test.testicola.com/product.html	C:/My%20Web%20Sites/ls_testtask/test.testicola.com/product.html	(from http://test.testicola.com/)
17:45:00	3272/3272	---M--	200	added ('OK')	image/png	etag:%225ab89d17-cc8%22	http://test.testicola.com/img/shoes/small-1.png	C:/My%20Web%20Sites/ls_testtask/test.testicola.com/img/shoes/small-1.png	(from http://test.testicola.com/)
17:45:01	3408/3408	---M--	200	added ('OK')	image/png	etag:%225ab89d17-d50%22	http://test.testicola.com/img/shoes/small-2.png	C:/My%20Web%20Sites/ls_testtask/test.testicola.com/img/shoes/small-2.png	(from http://test.testicola.com/)
17:45:01	3315/3315	---M--	200	added ('OK')	image/png	etag:%225ab89d17-cf3%22	http://test.testicola.com/img/shoes/small-3.png	C:/My%20Web%20Sites/ls_testtask/test.testicola.com/img/shoes/small-3.png	(from http://test.testicola.com/)
17:45:01	31000/31000	---M--	200	added ('OK')	image/png	etag:%225ab89d17-7918%22	http://test.testicola.com/img/logo.png	C:/My%20Web%20Sites/ls_testtask/test.testicola.com/img/logo.png	(from http://test.testicola.com/)
17:45:01	15966/15966	---M--	200	added ('OK')	image/png	etag:%225ab89d17-3e5e%22	http://test.testicola.com/img/shoes/big.png	C:/My%20Web%20Sites/ls_testtask/test.testicola.com/img/shoes/big.png	(from http://test.testicola.com/)
17:45:03	5055/5055	---M--	200	added ('OK')	image/jpeg	etag:%225ab89d18-13bf%22	http://test.testicola.com/img/watches/small-2.jpg	C:/My%20Web%20Sites/ls_testtask/test.testicola.com/img/watches/small-2.jpg	(from http://test.testicola.com/product.html)
17:45:03	8117/8117	---M--	200	added ('OK')	image/jpeg	etag:%225ab89d18-1fb5%22	http://test.testicola.com/img/watches/small-1.jpg	C:/My%20Web%20Sites/ls_testtask/test.testicola.com/img/watches/small-1.jpg	(from http://test.testicola.com/product.html)
17:45:04	6191/6191	---M--	200	added ('OK')	image/jpeg	etag:%225ab89d18-182f%22	http://test.testicola.com/img/watches/small-3.jpg	C:/My%20Web%20Sites/ls_testtask/test.testicola.com/img/watches/small-3.jpg	(from http://test.testicola.com/product.html)
17:45:04	20576/20576	---M--	200	added ('OK')	image/jpeg	etag:%225ab89d17-5060%22	http://test.testicola.com/img/about-pic.jpg	C:/My%20Web%20Sites/ls_testtask/test.testicola.com/img/about-pic.jpg	(from http://test.testicola.com/about.html)
17:45:07	45645/45645	---M--	200	added ('OK')	image/jpeg	etag:%225ab89d18-b24d%22	http://test.testicola.com/img/watches/big-1.jpg	C:/My%20Web%20Sites/ls_testtask/test.testicola.com/img/watches/big-1.jpg	(from http://test.testicola.com/product.html)
17:45:08	87528/87528	---M--	200	added ('OK')	image/jpeg	etag:%225ab89d17-155e8%22	http://test.testicola.com/img/macbook.jpg	C:/My%20Web%20Sites/ls_testtask/test.testicola.com/img/macbook.jpg	(from http://test.testicola.com/css/main.css)
